Author,Date,Rating,Title,Review
JINNIE,01/21/2021,5,Best Co-Pilot and Study-Buddy,"I impulse bought my first shark in August to keep me company on my road trip to college, and he has been an indispensable asset to my studies! He squishes up so I can sneak him into the study rooms in the library, he is a better pillow than any actual pillow I’ve ever bought, and his funny face always cheers me up no matter what grade I got on exams! Yesterday I made the 1.5 hour trip to buy another so he can have a friend, and I came home with both the full and small sized sharks! Who would have thought that the best thing Ikea ever made would be their stuffed toys!"
Adwenzel,12/10/2019,5,Best Shark Ever!,"My now 7 year old son has had this shark for at least 4 years. He’s obsessed with it, sleeps with it every night, and it goes on every road trip with us. It washes extremely well and is still in great condition. We did have to add some more stuffing a few months back, but I’m going to say that’s our fault and not because of a subpar product! We are actually going to buy some stuffed animals for our girls for Christmas this year since this one has held up so well!"
Rc111,12/08/2019,5,"Soft, durable",Bought this shark for my friends 2 year old son and he loves it. He wrestles with it and lays on it for a pillow.
paigepowars,11/23/2019,5,the goodest boy,"to this day i still can't believe such a soft, wholesome beauty lives among us. when i wake up every morning, i pray to him. when i'm sad, i cry to him. becuase i know he listens. he's the best boy. the goodest boy, if you will. god, i love blahaj"
verycooldad,11/21/2019,5,Perfect for my son Chad,I purchased a Blåhaj for my son Chad’s birthday. He sleeps with it every night and loves it very much. He even brought it to school one day as part of a costume (devised in order to bring his Blåhaj to school)!! :) very cool product.
PFJ63,11/19/2019,5,Great pillow,"My grand kid LOVE his shark pillow, is large and very plush"
RoseFrances,11/12/2019,5,Cant wait until Xmas,Gift for granddaughter who is mad for sharks.
MHenkels,10/30/2019,5,Great toy,We bought it for our 7 month old grandson. Great cuddle toy
Froggiegirl,10/16/2019,5,"Some of the best money I""ve ever spent","About a year ago I took my then 8 year old son to IKEA to buy a Blahaj and ended up also getting one for myself. We have had so much fun with them, taking them on adventures and lazing around the house. They are soft, snuggly, and stay nice looking even if they are a favorite toy. Ours have had several trips through the washer and dryer and are still going strong. Blahaj's are now my go to gift for kid's birthday parties and I've never had a complaint."
yukkieusa,10/09/2019,5,可愛すぎる！,息子がすごく喜んでました。 その写メを見て、娘も欲しがったので また次回行った時に追加購入しようと思います。
garcj364,09/17/2019,3,I bought this as a gift to myself. I love sharks and was disappointed with the quality. I feel like it needs more stuffing. It might be for kids but i'm in my 20s and there no such thing as only for kids !,"Value for money
2"
Guigeek333,09/13/2019,5,Grandson loves his shark,I bought this for my grandson and he loves it. He sleep with it every night.
Jen4f,09/10/2019,5,Love it!!!,We love it! Its a great accent piece.
ironbombs787,08/21/2019,5,Best $17.99 you can spend at Ikea,"The best shark you can buy at Ikea. The best $17.99 you can spend at Ikea. Great conversation piece. Soft and fluffy plush. It's also HUGE, I have bedroom pillows smaller than this thing. Pets love it, kids love it, jaded millennials and their memes love it, fun for the whole family!"
Yzzy,07/31/2019,5,Best plush ever!!,"I've wanted this shark for a long time and when IKEA gave me a bday gift card, I used it on this shark. It is THE BEST. Like a body pillow but even better, cause it's a SHARK. Very soft and cuddly, plus it can attack the fiance if needed."
Larsul60,07/30/2019,5,"My kids love their soft toys, they love sharks so you can imagine.","Yes, I recommend this product"
Ikea Shark Enthusiast,07/30/2019,5,The best stuffed animal I’ve ever had,"The ikea shark is the most wonderful squishy friend ever. I can’t go to sleep without mine. They are very soft and snuggly, and they make wonderful pals. They always give you a look like they need cuddles, and they are very comforting to hug. 11/10"
Barb1982,07/18/2019,5,Soft,I bought this because I forgot her normal stuffed animal and my 3 year old loved it.
librarian SWMN,06/23/2019,5,"Squishy, big and fun",Bought this for a library teen reading prize. It is on display through the end of summer and has gotten a lot of teens hoping to win it.
Piperkat,06/22/2019,5,Huge and squishy,My 4year olds loved the shark stuffy- very huggable
BlahajForPresident2020,12/12/2019,5,Absolutely Astounding,"Words can not truly explain the incomparable beauty of this shark This amazing creature whom I've named Kisame #24 has brought nothing but the utmost joy, happiness, and peace to my life. I promise you once you lay eyes on this magnificent beast you shall proclaim Excellent! And if for some reason you look at this breathtaking being and do not think the same then I question your taste."
BungaK,05/08/2019,5,"I love stuffed animals. I bought my first Blahaj 5 years ago for myself and just purchased another one for my grandson. Mine has been through washer, dryer, and I cuddle it everynight and it still looks and feels the same.","Yes, I recommend this product"
Vesperrrr,04/16/2019,5,Really cute soft shark. I like it.,"Yes, I recommend this product"
seasunflowers,04/09/2019,5,I love my baby shark,Baby Shark Doo Doo Dooooo!
grandma joyce,04/06/2019,5,Stuffed toy,"So happy to find a shark, my grandsons favorite right now."
Mari owo,03/29/2019,5,Very happy!,I love him so much! So soft! I cuddle with him every night. I named him Hugo!
cheddar27,03/28/2019,5,Literally the Best,"I bought this shark about a year and a half ago and it remains one of the best purchases I've ever made. Great quality, price, and appearance. His name is Marco. Would highly recommend to anyone, regardless of age!"
Blahajfan,03/21/2019,5,Wonderful,"The perfect stuffed animal, will make anyone smile"
Markelti,03/20/2019,5,My Kids love it,"Great product, my kids love it"
Jillosopher,03/15/2019,4,"I""m a middle aged kid and I love this shark!","I bought this a month ago on a whim, and I'm having so much fun with it. It's not the greatest quality, but for the price you can't beat it. I would not have bought it had it been expensive because its purpose was some silly fun for my husband and me (we're in our 50s but vow to never grow up!)"
Kathrynn,03/13/2019,5,one of the best purchases I've ever made. great for cuddling or using as a naptime pillow. i love him and he is my shark.,"Yes, I recommend this product"
Amanda00,03/06/2019,5,I bought this for my daughter to sleep wih my husband ended up sleeping with it instead. Super comfortablenkike a pillow.,"Yes, I recommend this product"
Kk shark,02/20/2019,5,Too cute,"I love the shark , but the real test comes at the end of the month...my Grandson’s birthday. He is hooked on sharks! This one is big and soft. I’m hoping that he’ll hug it to sleep❤️"
chompz4life,01/31/2019,5,Jawesome,Best gift ever for our shark loving friend. Embroidered eyes are a nice touch
Triffids,01/24/2019,5,Giant shark plush,"Super soft, fun to have. A treat to shop at our local IKEA, too."
Rachel of the Sharks,01/16/2019,5,Worth the hype,I now own two. They are just the perfect shape for cuddlingz whether it be in the car or in the bed they are made for cuddling. Even my cat loves them.
Rami22301,01/16/2019,5,His name is Jet.,"We bought this shark as a last-shark-in-the-bin purchase at a recent outing to IKEA. I tried arguing with my daughter that we didn't need another stuffy in the house, but by the time we were ready to head to the cashiers, our hands had inexplicably gotten completely connected to this big guy. We felt so bad that he'd be the last one in the bin, we bought him. So then we named him Jet, and decided he'd be our family's therapy shark. We argue over who gets to snuggle with him, whose turn it was to snuggle with him, and whether or not he would look better in a baseball hat or in a scarf. (the answer is both. he wants both). He's fluffy, soft, snuggleable, and his eyes don't pop off. His teeth aren't sharp, either."
heynowannie,01/15/2019,5,Jefferies the Shark,My 5 year old loves his shark Jefferies. Beware of his big teeth! They have eaten me on many occasions.
RTnursepowercouple,01/11/2019,5,Shark!,Gave the shark as a Christmas present the kids loved it!
pest54,01/11/2019,5,"A Big, Soft, Cuddly Shark",My 4 year old grandson loves his shark! It's long enough to protect him from head to foot when he sleeps. It's so soft he immediately hugged it. It's a great toy for imaginative play and a comfort for a sleepy child.
電気Heater,05/31/2019,5,Absolutely Astounding,"Words can not truly explain the incomparable beauty of this shark This amazing creature whom I've named Kisame #24 has brought nothing but the utmost joy, happiness, and peace to my life. I promise you once you lay eyes on this magnificent beast you shall proclaim Excellent! And if for some reason you look at this breathtaking being and do not think the same then I question your taste."
Inuq,12/28/2018,5,best plush,I can't stop hugging it would recommend 10/10
JENNIFERrapp,12/27/2018,5,Super soft,Great gift. My son loves it
Candy inns,12/26/2018,5,Soft,My grandson adores sharks and stuffed animals perfect combination
BONZSMOM,12/19/2018,5,Big and squishy,I bought this last month for my grandson. He loves it as a pillow and to chase his brother around with.
Brett D,12/14/2018,5,Best cuddle shark,"The shark is the best for throwing your arm over and getting a good nights sleep. My fiancée got one and I had to get one myself. That’s right. Two sharks, two adults, in a bed. It’s that great."
BradH,12/06/2018,5,"Large, soft, cuddly and definitely a shark",Bought this as a Xmas gift for young grandson who loves sharks.
Chloe0124,12/05/2018,5,Sharky!! Sharky!!,My Daughter loves this one so much!! Everyone who has a baby knows Baby Sharky song :)
Mep1,12/05/2018,5,Amazing!!,I love it soo much!!! Would highly recommend
Carol617,11/30/2018,5,What a fun toy!,This is my son's favorite stuffed toy.
shoppyshopper,11/29/2018,5,My 5yos favorite thing ever,My 5 year old daughter loves this shark more than anything - she sleeps with it every night and carries it around the house - it makes her feel safe. It is nearly as large as she is. This is a great toy.
FredderMac,11/28/2018,5,Cuddle Monster,"I know what you're thinking: INCREDIBLY VICIOUS SCALY MONSTERS ARE NOT FOR CUDDLING! Well, I have one thing to say to you: NOT SO! This stuffed shark is the tamest, cuddliest, giantest, stuffed-with-fluffest sharky you can find. Bruno (as I've named mine) takes up a whole side of the bed to keep me company, scares off baddies, and saves my life (from gravity and hard objects) when I try to roll off the bed at night! Bruno is a friendy, a besty, and a hero!"
Bacajess,11/28/2018,5,Best thing since Baby Shark!,"I bought this a month ago with the idea that I’d give it to my niece as part of her Christmas present. Nope. Not happening! Sharkie is staying with me and my two fur babies who also love him. His odd expression, plush coat and big mouth have given us hours of enjoyment from cuddles to Instagram posts. Definitely a right shark!"
Bluesky66,11/23/2018,5,My grandson loves it he sleeps with him,"Yes, I recommend this product"
Gratefulgirl,11/01/2018,5,Soft and cuddly,Bought as a fun pillow on my guest room bed on the Florida coast. Ha ha. But took a nap snuggling with Sharky and wow he is perfect for snuggling.
Ekim,10/24/2018,5,Happy,"Granddaughter loves it, Sonny the Shark has a new home"
jules23,10/04/2018,5,Shark snuggles,This toy is just sweet. My kids love to snuggle with it and sing Baby Shark to it. It's a great addition to our household!
mrsdow90,09/27/2018,5,extra soft,Ibought this for me I love sharks makes a great pillow
MommaD1110,09/22/2018,5,Snuggly shark,Purchased this as a gift for our son. This shark is now his number one stuffed animal. He has survived many washings and remains snuggly.
Zoegirl,09/13/2018,5,Great colors,Granddaughters loves it..
jill17,08/23/2018,5,soft huge shark,"Soft and hugable for grown daughter attending college away from home. Because she had to attend earlier than the rest of the students, due to sports, this was something to keep her company at night. She loved it!"
Kitten22,08/23/2018,5,Loves it!,My 2 year old daughter loves this- it’s huge but not too heavy for her to carry around. Just watch out- we had to talk her out of wanting this as her new crib night night stuffed animal
henpen,08/16/2018,5,great stuffed animal,"It's really soft and cuddly, my son loves it."
compozr8,08/15/2018,5,Very good quality and soft!,The stitching is excellent quality and the fabric is so soft. My little boy loves hugging this shark.
LokiF,08/09/2018,5,Best impulse buy ever,"The bin full of sharks caught my eye as I was leaving IKEA. I love sharks so I simply had to have one. It's super soft and fairly large. Oddly enough, my cat loves to use it as a pillow."
Amayaelika,08/05/2018,5,My Brucey the shark is a great protector.,"I first saw this while being lost inside ikea and wanted one, I didn't get it at first since I was 27 years old and thought I was too old for plushies but now I don't care anymore. I came back a few weeks later to buy one but it was sold out, then a year later they brought the sharks back. I've named mine Bruce. I bought this when it was $14.99 though they raised the price to $17.99 recently in store. It's about the size of a body pillow, it's a bit floppy and it's amazing. You can wash it in the washing machine if it's big enough though my Bruce's tail became really floppy afterwards."
Rivergal47,08/02/2018,5,"Very Large, Soft and Well-made",Six-year-old grandson loves this plush toy. He takes it to bed each night. Recommend!
I love sharks 720,08/02/2018,5,So cute,I got this for my birthday cause I love sharks. It’s my favorite thing ever.
Gingersnap86,07/25/2018,5,Awesome toy!!,Holds up to my 6 year old and he takes his shark EVERYWHERE!!
GPB54,07/17/2018,5,Well made plush toy,Bought this for an elderly friend. They loved how well made it was.
Citipearl,07/11/2018,5,A Winner!,I bought this for my grandson’s 2nd birthday. He loves it! He takes it with him everywhere he goes!
Pilpintu,07/04/2018,4,Great,Bought this some time ago and my daughter loves it.
Jacky43,06/12/2018,5,Soft and cuddly !!!,"My grandsons love them, so soft and cuddly"
Menchi88,06/12/2018,5,My grandson loved it!,Cool soft toy ! Glad I boy it
sandyclaws,06/05/2018,5,Awesome Shark,My brother is obsessed with this shark. It’s really soft.
tkb820,05/09/2018,5,My daughter loves sharks and this one is super soft and cuddly,"Yes, I recommend this product"
moscobita,05/09/2018,5,Sharkarific,I have two boys and they just love to play with their super giant shark. It's been around 5 months and they still play with it every day. The whole family has fun with it. Pillow or just push toy shark is perfect.
ginger11,05/02/2018,5,Adorable shark??,"My daughter went right over to this shark in the soft toy section at IKEA and would not put it down! I thought to myself What is she fussing about, it's a shark!. She brought it over to me, and I must say It's adorable, not at all what we are used to thinking about them. Yes it's made to look like a shark, but it's soft and plushy and a beautiful shade of blue! Looking at his pearly whites made us both smile and laugh :D"
Stagl,04/29/2018,5,I ❤️ Sharkie!!!,This guy is my favorite buddy in the bedroom. He's even more popular than my old lady. We snuggle and have deep conversations about life and secrets and things that shouldn't be talking about here. Do yourself a favor and get yourself a Sharkie. You will not regret it.
Fun spot for all,04/25/2018,5,Great buy,"My grandson loves !!!!!! Sharks. This shark is so soft , the material makes him want to hug his shark"
jill17,08/23/2018,5,soft huge shark,"Yes, I recommend this product"
Jenn254,04/13/2018,5,Awesome,My Son loves it and great price for the size thank you!!!
Annphil,04/13/2018,5,Shark pillow,My son loves it! He said it’s like a big pillow and loves having it around when we’re lounging and watching tv.
Sharkington,04/13/2018,5,Awesome,Samuel likes his shark and enjoys his company
AmandaMommyof2,04/13/2018,5,Cute and soft,"My 4 year old is obsessed with sharks and just HAD to have it. He has been dragging it everywhere, even sleeps with it. Not to mention the price was not bad at all"
Marga09,04/12/2018,5,Good quality,It’s very well made plush toy. My son loves it!
Hnlgranny,04/11/2018,5,My grandson loves this shark!,"Yes, I recommend this product"
Jessica97,04/11/2018,5,Super soft and cuddly,"Even though I’m an adult, I bought this shark for myself. I use it as a pregnancy pillow. Offers great belly support and gives me something to snuggle up on, as I’m not naturally a side sleeper. I call it Barbara Corcoran, because she is the greatest shark."
Katie i,04/11/2018,5,Super snuggly!!,Who doesn't need a derpy shark to snuggle with?! Glad I finally have one of my own!!
Brina57,03/08/2018,5,10/10,"I'm a fourteen years old girl and I bought this for myself. Great shark. Very soft and cuddly. If I could give it more than 5 stars, I would."
Flocka,02/28/2018,5,Great Shark!,Another successful birthday gift. Who ever thought a shark could be so huggable? Ideal for boys who want to seem tough but enjoy soft toys.
TheRealC2,02/28/2018,5,Terrific value,"My son bought this with birthday money a few weeks ago, and loves it. Hard to tell from the picture online, but it is HUGE. Very soft. Surprising size and quality for the price! I'd highly recommend it"
Aniuxka,02/28/2018,5,Great stuff animal,Complement the sea decoration at my son's bedroom.
Siouxshi,02/22/2018,5,So very soft and huge and real looking,Bought this for my granddaughter...she adores it....it still bigger than she is....lol
ramiless,02/19/2018,5,As a holding pillow,"I'm not kids, I use it for sleeping always. Really soft and nice.Washable"
IanFB,02/13/2018,5,Best Stuffed Animal Ever,"Bought for myself and I’m an adult male. Soft, comfortable to snuggle with, defends the bed from monsters. Also, totally awesome that it’s a shark."
spartatruman,02/08/2018,5,Great product and the best market price,"Please, did buy last month and as always so pleased ....Thank you !"
Jamie17,01/24/2018,4,Nice shark,"My son loves it , he sleep with it every night"
BJ1888,01/17/2018,5,My son loves it,"It’s a big, soft stuffed shark. The teeth aren’t particularly sharklike, but my 2-year-old doesn’t care. The tag was enormous, but I was able to cut it off pretty close."
CChris74,01/12/2018,5,"So soft, She loved it.","I bought this as a gift for a teenager who loves Sharknado. This was a big hit as soon as she opened the package she hugged it. She said it was so soft, and cuddly that she didn't want to put it down."
delaneypetley,04/16/2018,5,he's perfect and i love him!,"Yes, I recommend this product"
deborah13,01/04/2018,5,So much Fun!,"Ok, I admit it, I buy this toy for my dogs every Christmas. I know it isn't a dog toy, but it is so big and soft and reasonably priced. My dogs love to play with it and sleep on it, until they destroy it. The humans in the house have fun playing with it, too. Tons of entertainment for the whole household!"
Zoeyka,01/03/2018,5,Great for supporting arm while sleeping,I like my snuggle shark so much I got one for my father.
Melekalikimaka,01/03/2018,5,"Large for the price, soft too.",My grandson loved it for Christmas.
peter1965,12/27/2017,5,very good gift for us to give to our grand chidren,"Yes, I recommend this product"
MichelleUSA,12/27/2017,5,great,Bought 1 of these sharks for a grandchild's Christmas. Was soft and fluffy.
Plant4trees,12/27/2017,5,Shark,Haha what a fun and unexpected item. It was perfect for our little sailor. Built Same as the elephant
NerDai,12/23/2017,5,"Cutest Shark You""ll Ever Meet!","Giant, soft, adorable shark toy. Great deal for the price. Cute as a button, well made, and nice and plush and squishy. Perfect for a child's toy, or just as something cute to decorate the room with."
Jenw02,12/21/2017,5,My son loves it. Excellent price for such a large stuffed animal.,"Yes, I recommend this product"
Solarte82,12/21/2017,5,BLÅHAJ,It’s soft and is awsome to rest on and is good stress relief.
Debi92,12/21/2017,5,So soft!,So soft and really great size for price
alonsofam2017,12/20/2017,5,Cozy,Perfect gift and great to use as a pillow!
Bekka,12/19/2017,5,Very good!,"I bought the sharks for my two nephews ages 5 and 3. They are decorating their new bedrooms with whales and sharks, and these sharks were perfect for bed decorations. I sent the sharks to them for Christmas packed in small boxes hoping they would pop out when they opened them. Their dad let me watch them open the packages on face time. It was fun to watch them open the sharks, and they did pop out at them. As soon as they opened the sharks, they disappeared from the view of face time smacking each other with the sharks. I would say the sharks were a success. My nephews loved them. This was the exact reaction I expected, and they didn't let me down. Hope the sharks survive long enough to see their new home."
Whatever2,12/18/2017,5,Sharks and more sharks,"Our great grandson loves it. He sleeps with it and races around the house with it. It has taken a beating but like other stuffed toys we have bought from Ikea it seems the withstand the abuse. Well made product,"
Trudy75,12/18/2017,5,Lifelike yet loveable!,"I bought this as a gift for my sister who is a scuba diver, and she loved it! She likes sharks so much that she named her cat Fin if that gives you any idea. Thanks for the help in the gift department!"
beans1234567890,12/17/2017,5,greatest boy,"one of the greatest decisions i have ever made, 99999999/10 would recommend"
Foxyt,12/09/2017,5,So soft and cuddly.,My son loves it! Wants his whole room underwater
BDK17,12/07/2017,5,Everybody needs one in their life,"This is the second one I own, and I absolutely love it. It is so soft and comfortable, and there's nothing like seeing a few big plush sharks waiting on your bed when you get home from work. They are perfect to snuggle with."
AltheaSailor,12/07/2017,5,Supersized shark,Every young boy’s bedroom needs one of these! Peaceful dreams with this guy watching out for you.
Marynam87,12/06/2017,5,My daughter very like this toy!,"Yes, I recommend this product"
RawShark,12/05/2017,5,Best Friends Forever,I have two Blahaj and I love them so much.
Sharkpuppy,11/29/2017,5,It is fun to scare my dogs with.,"Yes, I recommend this product"
Cessna182,11/26/2017,5,This is the greatest stuffed toy shark I have ever purchased.,"Yes, I recommend this product"
Happy Julia,11/25/2017,5,happy,Its an awesome toy the kid is in love with it
Bad haiku,11/23/2017,5,Very soft,His name is Mark and He is big and soft and nice. Mark is a good shark -bad haiku
Snoo,11/13/2017,5,Nice and soft,"I just happened to see this at Ikea and I love sharks. This toy is very soft, squishy (but not too squishy) and for me, is a perfect pillow that doesn't slide off the bed or couch."
FriendofWaterPig,11/08/2017,5,Water Pig is my BFF,We bought this lovely BLÅHAJ Soft Toy after he jumped into our cart while shopping. He was so adorable in the cart that we had to take him home. We have named him Water Pig and the employee at check out even took a picture of him sitting in the cart. Perfect toy!
Mimielf,11/08/2017,5,Giant shark,Well loved and hopefully it will last a long time
Ziggyderby,11/08/2017,5,Large Shark,Very soft and well made for the price.
SharkLover,10/30/2017,5,BEST SHARKS EVER,I have two of these sharks. My roommate says they are derpy and they totally are but they are amazing. So worth it!
hellomissriot,10/25/2017,5,Can’t get enough!,"I haven’t had “Jaws” for long but, am beyond stoked to add him to my stuffed collection. I have an obsession with Ikea stuffed animals. They’re all very durable and the material is very soft. This one is quite larger than most and also makes for an excellent pillow!"
Rhonda1977,10/23/2017,5,Super Soft,I bought this soft squishy shark for my four year old. He has not put this shark down since he received it. He loves him he takes him everywhere with him and sleeps with him every single night. He is easy to clean and holds up well to my Tiny Terror.
shark fan,10/16/2017,5,The best,I love him. He is very soft and squishy and adorable. He is firm enough in the chest to be perfect for hugging. I’ve bought two now because I have one to a friend then decided I couldn’t be without one for myself. I am one of the many twenty-somethings obsessed with this shark and he is a great friend for customers of any age.
jk99,10/16/2017,5,Great toy,My Kid plays with this shark every day.
nana24,10/16/2017,5,another fantastic IKEA stuffed toy!,"Purchased 4 of these, one for each grandchild (ages 3-7). They all love them. They function as a body pillow when they sleep and, as all IKEA soft toys (we have all the animals), last through rough handling (shark wars!) and machine washing. No plastic parts to pop off, kind features on their faces. IKEA, your stuffed toy animals are the BEST!"
Tillybean,10/16/2017,5,"Love, love, love it!",This stuffed toy is so soft and cuddly! Everyone who sees it wants one.
ErtBert,09/12/2017,5,Super soft!,I got this on an impulse and I have loved it ever since. It adds such whimsy to my room. Plus it's super soft and nice to cuddle!
Blahajluv,08/31/2017,5,I finally found him!,"I love sharks and I missed out on buying him years ago, then I surprisingly found him in stores, I grabbed it immediately and discovered he was so soft and big. I ended up deciding to get 2, one for my bed and the other for my bed at my parents, because I just couldn't imagine my bed without this shark anymore."
What a great shark,08/07/2017,5,Soft,"This thing is so soft. Nice price for its size too. It's extremely huggable. The teeth are a little floppy and I wish they were plush as well but it's still a great product. I'm holding it right now. Like, wow, I love this thing."
